"District","State","Yearcode","Ground_water_level","ID","SDP","gini"
"ghazipur","uttar pradesh",2018,10.2314285714286,1462018,"949184",0.24
"ghazipur","uttar pradesh",2017,7.9,1462017,"922458",0.24
"ghazipur","uttar pradesh",2020,10.4475,1462020,"910011",0.24
"ghazipur","uttar pradesh",2015,5.855,1462015,"792049",0.24
"ghazipur","uttar pradesh",2011,6.13,1462011,"645132",0.24
"ghazipur","uttar pradesh",2021,12.904,1462021,"948839",0.24
"ghazipur","uttar pradesh",2019,10.8866666666667,1462019,"980106",0.24
"ghazipur","uttar pradesh",2016,5.3225,1462016,"888453",0.24
"ghazipur","uttar pradesh",2013,5.7375,1462013,"707469",0.24
"ghazipur","uttar pradesh",2012,6.59666666666667,1462012,"673552",0.24
"ghazipur","uttar pradesh",2014,5.2625,1462014,"729686",0.24
"giridih","jharkhand",2021,5.25,3292021,"213681",0.21
"giridih","jharkhand",2019,6.1575,3292019,"209913",0.21
"giridih","jharkhand",2012,6.30666666666667,3292012,"149526",0.21
"giridih","jharkhand",2011,6.1875,3292011,"137383",0.21
"giridih","jharkhand",2016,5.325,3292016,"176363",0.21
"giridih","jharkhand",2018,6.32333333333333,3292018,"208701",0.21
"giridih","jharkhand",2015,5.1675,3292015,"158231",0.21
"giridih","jharkhand",2020,3.76666666666667,3292020,"196467",0.21
"giridih","jharkhand",2014,4.0675,3292014,"170568",0.21
"giridih","jharkhand",2013,5.315,3292013,"150609",0.21
"giridih","jharkhand",2017,5.5375,3292017,"191573",0.21
"goalpara","assam",2021,4.2,2872021,"-",0.24
"goalpara","assam",2015,3.92,2872015,"167629",0.24
"goalpara","assam",2017,3.9625,2872017,"195262",0.24
"goalpara","assam",2020,2.91,2872020,"199646",0.24
"goalpara","assam",2016,3.9025,2872016,"179632",0.24
"goalpara","assam",2014,3.9775,2872014,"146425",0.24
"goalpara","assam",2011,3.6,2872011,"129354",0.24
"goalpara","assam",2012,4.115,2872012,"132518",0.24
"goalpara","assam",2019,3.5125,2872019,"212315",0.24
"goalpara","assam",2018,4.044,2872018,"204627",0.24
"goalpara","assam",2013,4.2175,2872013,"138725",0.24
"godda","jharkhand",2020,3.4,3302020,"196467",0.18
"godda","jharkhand",2011,5.68,3302011,"137383",0.18
"godda","jharkhand",2021,5.02,3302021,"213681",0.18
"godda","jharkhand",2014,5.8925,3302014,"170568",0.18
"godda","jharkhand",2015,5.6225,3302015,"158231",0.18
"godda","jharkhand",2012,6.41666666666667,3302012,"149526",0.18
"godda","jharkhand",2017,6.6475,3302017,"191573",0.18
"godda","jharkhand",2019,5.6975,3302019,"209913",0.18
"godda","jharkhand",2016,6.0125,3302016,"176363",0.18
"godda","jharkhand",2018,5.93,3302018,"208701",0.18
"godda","jharkhand",2013,6.9175,3302013,"150609",0.18
"golaghat","assam",2013,4.48574322216104,2882013,"138725",0.22
"golaghat","assam",2020,3.20150101408694,2882020,"199646",0.22
"golaghat","assam",2014,3.69521460778915,2882014,"146425",0.22
"golaghat","assam",2018,4.16622410840184,2882018,"204627",0.22
"golaghat","assam",2015,3.82332377041562,2882015,"167629",0.22
"golaghat","assam",2011,4.17145004406241,2882011,"129354",0.22
"golaghat","assam",2017,4.4165396923819,2882017,"195262",0.22
"golaghat","assam",2021,4.72899737164573,2882021,"-",0.22
"golaghat","assam",2016,3.4314842661031,2882016,"179632",0.22
"golaghat","assam",2012,5.57850807390172,2882012,"132518",0.22
"golaghat","assam",2019,3.67789181394921,2882019,"212315",0.22
"gonda","uttar pradesh",2019,12.4975,1472019,"980106",0.24
"gonda","uttar pradesh",2017,7.05,1472017,"922458",0.24
"gonda","uttar pradesh",2011,2.865,1472011,"645132",0.24
"gonda","uttar pradesh",2014,3.64,1472014,"729686",0.24
"gonda","uttar pradesh",2018,9.36571428571429,1472018,"949184",0.24
"gonda","uttar pradesh",2020,15.86,1472020,"910011",0.24
"gonda","uttar pradesh",2021,15.484,1472021,"948839",0.24
"gonda","uttar pradesh",2015,3.38,1472015,"792049",0.24
"gonda","uttar pradesh",2012,3.28666666666667,1472012,"673552",0.24
"gonda","uttar pradesh",2013,3.0125,1472013,"707469",0.24
"gonda","uttar pradesh",2016,4.585,1472016,"888453",0.24
"gondia","maharashtra",2015,4.52,4762015,"1452513",0.4
"gondia","maharashtra",2012,5.36333333333333,4762012,"1189711",0.4
"gondia","maharashtra",2019,5.6075,4762019,"1782903",0.4
"gondia","maharashtra",2011,4.3125,4762011,"1126595",0.4
"gondia","maharashtra",2018,6.08,4762018,"1728578",0.4
"gondia","maharashtra",2017,5.8075,4762017,"1661065",0.4
"gondia","maharashtra",2020,3.59333333333333,4762020,"1653094",0.4
"gondia","maharashtra",2016,4.8525,4762016,"1596121",0.4
"gondia","maharashtra",2021,6.24,4762021,"-",0.4
"gondia","maharashtra",2014,4.2075,4762014,"1345341",0.4
"gondia","maharashtra",2013,4.2025,4762013,"1267551",0.4
"gopalganj","bihar",2021,2.6,1972021,"382274",0.17
"gopalganj","bihar",2018,3.795,1972018,"345545",0.17
"gopalganj","bihar",2014,2.405,1972014,"255739",0.17
"gopalganj","bihar",2015,2.9075,1972015,"269200",0.17
"gopalganj","bihar",2016,3.6475,1972016,"289265",0.17
"gopalganj","bihar",2019,3.5925,1972019,"359196",0.17
"gopalganj","bihar",2012,3.2,1972012,"236933",0.17
"gopalganj","bihar",2013,2.8525,1972013,"246915",0.17
"gopalganj","bihar",2020,2.19,1972020,"344183",0.17
"gopalganj","bihar",2017,3.085,1972017,"312605",0.17
"gopalganj","bihar",2011,2.8625,1972011,"228497",0.17
"gorakhpur","uttar pradesh",2019,10.8345271165163,1482019,"980106",0.32
"gorakhpur","uttar pradesh",2016,4.92402762677723,1482016,"888453",0.32
"gorakhpur","uttar pradesh",2015,4.1541796526415,1482015,"792049",0.32
"gorakhpur","uttar pradesh",2011,3.40182822337249,1482011,"645132",0.32
"gorakhpur","uttar pradesh",2020,8.80742741838614,1482020,"910011",0.32
"gorakhpur","uttar pradesh",2021,11.8756548529665,1482021,"948839",0.32
"gorakhpur","uttar pradesh",2013,2.77945112739912,1482013,"707469",0.32
"gorakhpur","uttar pradesh",2014,3.04189930039994,1482014,"729686",0.32
"gorakhpur","uttar pradesh",2017,6.88664005954142,1482017,"922458",0.32
"gorakhpur","uttar pradesh",2012,3.93922210142178,1482012,"673552",0.32
"gorakhpur","uttar pradesh",2018,9.49241119871254,1482018,"949184",0.32
"gumla","jharkhand",2014,4.825,3312014,"170568",0.21
"gumla","jharkhand",2011,4.7175,3312011,"137383",0.21
"gumla","jharkhand",2017,4.2025,3312017,"191573",0.21
"gumla","jharkhand",2021,4.67,3312021,"213681",0.21
"gumla","jharkhand",2012,4.84,3312012,"149526",0.21
"gumla","jharkhand",2020,3.37,3312020,"196467",0.21
"gumla","jharkhand",2015,4,3312015,"158231",0.21
"gumla","jharkhand",2018,5.15333333333333,3312018,"208701",0.21
"gumla","jharkhand",2016,4.3,3312016,"176363",0.21
"gumla","jharkhand",2019,4.7925,3312019,"209913",0.21
"gumla","jharkhand",2013,4.34,3312013,"150609",0.21
"guna","madhya pradesh",2018,7.63833333333333,4062018,"482361",0.23
"guna","madhya pradesh",2013,7.4075,4062013,"322598",0.23
"guna","madhya pradesh",2017,8.77,4062017,"441956",0.23
"guna","madhya pradesh",2015,7.21,4062015,"370716",0.23
"guna","madhya pradesh",2021,8.27,4062021,"539180",0.23
"guna","madhya pradesh",2016,6.855,4062016,"419465",0.23
"guna","madhya pradesh",2011,9.59,4062011,"282371",0.23
"guna","madhya pradesh",2020,9.41,4062020,"490238",0.23
"guna","madhya pradesh",2014,7.435,4062014,"339247",0.23
"guna","madhya pradesh",2012,9.55333333333333,4062012,"306853",0.23
"guna","madhya pradesh",2019,6.03142857142857,4062019,"508146",0.23
"guntur","andhra pradesh",2011,4.5525,5062011,"339996",0.33
"guntur","andhra pradesh",2016,9.87083333333333,5062016,"477566",0.33
"guntur","andhra pradesh",2021,6.93833333333333,5062021,"661432",0.33
"guntur","andhra pradesh",2019,8.47285714285714,5062019,"595658",0.33
"guntur","andhra pradesh",2014,6.205,5062014,"397064",0.33
"guntur","andhra pradesh",2020,7.49111111111111,5062020,"593869",0.33
"guntur","andhra pradesh",2018,8.9625,5062018,"558862",0.33
"guntur","andhra pradesh",2015,8.22416666666667,5062015,"446997",0.33
"guntur","andhra pradesh",2017,8.43833333333333,5062017,"526626",0.33
"guntur","andhra pradesh",2012,6.2425,5062012,"341335",0.33
"guntur","andhra pradesh",2013,5.68666666666667,5062013,"360239",0.33
"gurdaspur","punjab",2021,96.0566086148238,322021,"376781",0.26
"gurdaspur","punjab",2018,5.78916670410949,322018,"353942",0.26
"gurdaspur","punjab",2016,5.64681014581171,322016,"315783",0.26
"gurdaspur","punjab",2011,5.21974047091839,322011,"239227",0.26
"gurdaspur","punjab",2019,5.72346367720282,322019,"367558",0.26
"gurdaspur","punjab",2015,5.00803071755247,322015,"294895",0.26
"gurdaspur","punjab",2014,5.37304753370061,322014,"278485",0.26
"gurdaspur","punjab",2017,5.68550192832342,322017,"335057",0.26
"gurdaspur","punjab",2012,5.79890048587343,322012,"251813",0.26
"gurdaspur","punjab",2013,5.74718977025245,322013,"267515",0.26
"gurdaspur","punjab",2020,5.87433729454405,322020,"352357",0.26
"gwalior","madhya pradesh",2020,11.3033333333333,4072020,"490238",0.33
"gwalior","madhya pradesh",2015,11.8125,4072015,"370716",0.33
"gwalior","madhya pradesh",2017,13.975,4072017,"441956",0.33
